"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's about following your dreams , no matter what your parents think .","it 's about following your dreams , no matter what your parents think .",1.0,1.0,0,0,1,1,"Skipped"
"a wildly inconsistent emotional experience .","a wildly inconsistent emotional experience .",0.0,0.0,0,0,0,25,"Failed"
"` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '","` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '",1.0,1.0,0,0,1,1,"Skipped"
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .","far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .",1.0,1.0,0,0,1,1,"Skipped"
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .","for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .",1.0,1.0,0,0,1,1,"Skipped"
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool .","i do n't mind having my heartstrings pulled , but do n't treat me like a fool .",0.0,0.0,0,0,0,139,"Failed"
"manages to transcend the sex , drugs and show-tunes plot into something far richer .","manages to transcend the sex , drugs and show-tunes plot into something far richer .",1.0,1.0,0,0,1,1,"Skipped"
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .","the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .",0.0,0.0,0,0,0,200,"Failed"
"good old-fashioned slash-and-hack is back !","good old-fashioned slash-and-hack is back !",1.0,1.0,0,0,1,1,"Skipped"
"this movie is maddening .","this movie is maddening .",0.0,0.0,0,0,0,21,"Failed"
"if you can stomach the rough content , it 's worth checking out for the performances alone .","if you can stomach the rough content , it 's worth checking out for the performances alone .",1.0,1.0,0,0,1,1,"Skipped"
"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .","a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .",1.0,1.0,0,0,1,1,"Skipped"
"atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues","atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues",1.0,1.0,0,0,1,1,"Skipped"
"the movie is what happens when you blow up small potatoes to [[10]] times their natural size , and it ai n't pretty .","the movie is what happens when you blow up small potatoes to [[decade]] times their natural size , and it ai n't pretty .",0.0,1.0,0,1,0,116,"Successful"
"mr. tsai is a very original artist in his medium , and what time is it there ?","mr. tsai is a very original artist in his medium , and what time is it there ?",1.0,1.0,0,0,1,1,"Skipped"
"leigh 's film is full of memorable performances from top to bottom .","leigh 's film is full of memorable performances from top to bottom .",1.0,1.0,0,0,1,1,"Skipped"
"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .","with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .",0.0,0.0,0,0,0,101,"Failed"
"it 's a remarkably solid and subtly satirical tour de force .","it 's a remarkably solid and subtly satirical tour de force .",1.0,1.0,0,0,1,1,"Skipped"
"-lrb- a -rrb- n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .","-lrb- a -rrb- n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .",1.0,1.0,0,0,1,1,"Skipped"
"it takes talent to make a lifeless movie about the most heinous man who ever lived .","it takes talent to make a lifeless movie about the most heinous man who ever lived .",0.0,0.0,0,0,0,200,"Failed"
